06/01/2017 15:16:08 ----------- Inicio processamento: 06/01/2017 15:16:08
06/01/2017 15:22:05 ; ERRO ; 404 ; 3513 ; GET ; http://brux0338:9200/esb/services/CongelarNumerosTelefonev1?wsdl
06/01/2017 15:22:37 ; ERRO ; 500 ; 315829 ; GET ; http://brux0338:9200/esb/services/ListarHistoricoAssinantesFaturadosv1?wsdl
06/01/2017 15:22:39 ; SUCC ; 200 ; 57927 ; GET ; http://brux0338:9200/esb/services/ConsultarFaturaPDFv1?wsdl
06/01/2017 15:23:39 ; ERRO ; 500 ; 377809 ; GET ; http://brux0338:9200/esb/services/ConsultarPromocaov1?wsdl
06/01/2017 15:23:39 ; ERRO ; 500 ; 59966 ; GET ; http://brux0338:9200/esb/services/ResgatarPremioClaroClubev1?wsdl
06/01/2017 15:23:39 ; ERRO ; 500 ; 94054 ; GET ; http://brux0338:9200/esb/services/NotificarValidacaoCotacaoVendaCorporativav1?wsdl
06/01/2017 15:23:39 ; ERRO ; 500 ; 176067 ; GET ; http://brux0338:9200/esb/services/AtivarAssinanteWppv1?wsdl
06/01/2017 15:23:40 ; ERRO ; 500 ; 63591 ; GET ; http://brux0338:9200/esb/services/CalcularPrecoProdutoEstoquev1?wsdl
06/01/2017 15:23:42 ; ERRO ; 500 ; 381318 ; GET ; http://brux0338:9200/esb/services/GerarProtocolov1?wsdl
06/01/2017 15:23:42 ; SUCC ; 200 ; 116567 ; GET ; http://brux0338:9200/esb/services/ListarPacotesAssinantev2?wsdl
06/01/2017 15:25:03 ; ERRO ; 500 ; 83961 ; GET ; http://brux0338:9200/esb/services/ListarPromocoesAssinantev2?wsdl
06/01/2017 15:25:03 ; ERRO ; 500 ; 260107 ; GET ; http://brux0338:9200/esb/services/NotificarEventoPortabilidadev1?wsdl
06/01/2017 15:25:03 ; ERRO ; 500 ; 84009 ; GET ; http://brux0338:9200/esb/services/RestaurarAssinantev1?wsdl
06/01/2017 15:25:04 ; ERRO ; 500 ; 81859 ; GET ; http://brux0338:9200/esb/services/ConsultarDadosAnaliseCreditov1?wsdl
06/01/2017 15:25:05 ; ERRO ; 500 ; 195862 ; GET ; http://brux0338:9200/esb/services/LiberarNavegacaoAvulsav2?wsdl
06/01/2017 15:25:06 ; ERRO ; 404 ; 1515 ; GET ; http://brux0338:9200/esb/services/ListarEnderecosClienteGAMBRv1?wsdl
06/01/2017 15:26:50 ; ERRO ; 500 ; 191453 ; GET ; http://brux0338:9200/esb/services/ListarAccountsClientev1?wsdl
06/01/2017 15:26:50 ; ERRO ; 500 ; 107478 ; GET ; http://brux0338:9200/esb/services/ListarExtratoDetalhadoConsumov1?wsdl
06/01/2017 15:26:50 ; ERRO ; 500 ; 107592 ; GET ; http://brux0338:9200/esb/services/EnviarSmsv1?wsdl
06/01/2017 15:26:50 ; ERRO ; 500 ; 367712 ; GET ; http://brux0338:9200/esb/services/ListarPremiosClaroClubev1?wsdl
06/01/2017 15:27:00 ; ERRO ; 500 ; 201453 ; GET ; http://brux0338:9200/esb/services/VerificarAdimplenciaClientev1?wsdl
06/01/2017 15:27:03 ; SUCC ; 200 ; 200793 ; GET ; http://brux0338:9200/esb/services/ListarHistoricoAtendimentov1?wsdl
06/01/2017 15:27:04 ; SUCC ; 200 ; 203724 ; GET ; http://brux0338:9200/esb/services/MigrarAssinantev1?wsdl
06/01/2017 15:27:04 ; SUCC ; 200 ; 118427 ; GET ; http://brux0338:9200/esb/services/NotificarAnaliseCreditov2?wsdl
06/01/2017 15:27:05 ; ERRO ; 404 ; 710 ; GET ; http://brux0338:9200/esb/services/ListarValoresDisponiveisTransferenciaCreditoAssinantev1?wsdl
06/01/2017 15:27:07 ; SUCC ; 200 ; 16820 ; GET ; http://brux0338:9200/esb/services/ListarEmpresasParceirasClaroClubev1?wsdl
06/01/2017 15:27:08 ; SUCC ; 200 ; 4473 ; GET ; http://brux0338:9200/esb/services/ValidarDadosBancariosv1?wsdl
06/01/2017 15:28:13 ; ERRO ; 500 ; 82640 ; GET ; http://brux0338:9200/esb/services/NotificarEventoSolicitacaoAtendimentov1?wsdl
06/01/2017 15:28:13 ; ERRO ; 500 ; 64444 ; GET ; http://brux0338:9200/esb/services/AtualizarClienteContaOnlinev2?wsdl
06/01/2017 15:28:13 ; ERRO ; 500 ; 82542 ; GET ; http://brux0338:9200/esb/services/CadastrarClienteClaroClubev1?wsdl
06/01/2017 15:28:13 ; ERRO ; 404 ; 117 ; GET ; http://brux0338:9200/esb/services/SolicitarTransferenciaCreditoAssinantev1?wsdl
06/01/2017 15:28:13 ; SUCC ; 200 ; 69819 ; GET ; http://brux0338:9200/esb/services/ConsultarAtendimentov1?wsdl
06/01/2017 15:28:13 ; ERRO ; 404 ; 98 ; GET ; http://brux0338:9200/esb/services/DesalocarNumerosTelefonev1?wsdl
06/01/2017 15:28:14 ; SUCC ; 200 ; 66849 ; GET ; http://brux0338:9200/esb/services/GerarTokenSSOv2?wsdl
06/01/2017 15:28:14 ; SUCC ; 200 ; 69116 ; GET ; http://brux0338:9200/esb/services/SuspenderAssinantev1?wsdl
06/01/2017 15:28:23 ; SUCC ; 200 ; 199789 ; GET ; http://brux0338:9200/esb/services/ReenviarDadosRedeTelefoniav1?wsdl
06/01/2017 15:28:23 ; SUCC ; 200 ; 92985 ; GET ; http://brux0338:9200/esb/services/AtualizarDadosCadastraisClientev1?wsdl
06/01/2017 15:28:23 ; SUCC ; 200 ; 83109 ; GET ; http://brux0338:9200/esb/services/GerarOrdemSapv1?wsdl
06/01/2017 15:28:25 ; SUCC ; 200 ; 11038 ; GET ; http://brux0338:9200/esb/services/VerificarElegibilidadeAssinantev1?wsdl
06/01/2017 15:28:26 ; SUCC ; 200 ; 200643 ; GET ; http://brux0338:9200/esb/services/ConsultarContratoClienteGAMBRv1?wsdl
06/01/2017 15:28:26 ; SUCC ; 200 ; 12802 ; GET ; http://brux0338:9200/esb/services/ConsultarDetalhesOrdemv1?wsdl
06/01/2017 15:28:26 ; SUCC ; 200 ; 12890 ; GET ; http://brux0338:9200/esb/services/EnviarEmailv1?wsdl
06/01/2017 15:28:26 ; SUCC ; 200 ; 862 ; GET ; http://brux0338:9200/esb/services/ConsultarUltimaFaturav1?wsdl
06/01/2017 15:28:27 ; SUCC ; 200 ; 1687 ; GET ; http://brux0338:9200/esb/services/GerarParcelamentoCobrancav1?wsdl
06/01/2017 15:28:28 ; ERRO ; 404 ; 743 ; GET ; http://brux0338:9200/esb/services/AdicionarFriendsAndFamilyAssinantev1?wsdl
06/01/2017 15:28:34 ; SUCC ; 200 ; 5458 ; GET ; http://brux0338:9200/esb/services/ConsultarDadosPessoav1?wsdl
06/01/2017 15:30:05 ; ERRO ; 500 ; 99468 ; GET ; http://brux0338:9200/esb/services/ConsultarUltimoAparelhov1?wsdl
06/01/2017 15:30:05 ; ERRO ; 500 ; 91549 ; GET ; http://brux0338:9200/esb/services/AjustarCreditoAssinantev1?wsdl
06/01/2017 15:30:05 ; ERRO ; 500 ; 102712 ; GET ; http://brux0338:9200/esb/services/ConsultarSegmentacaoAssinantev2?wsdl
06/01/2017 15:30:05 ; ERRO ; 500 ; 112470 ; GET ; http://brux0338:9200/esb/services/ListarMemorandosv1?wsdl
06/01/2017 15:30:05 ; ERRO ; 500 ; 99561 ; GET ; http://brux0338:9200/esb/services/PreAtivarAssinantev2?wsdl
06/01/2017 15:30:10 ; SUCC ; 200 ; 4644 ; GET ; http://brux0338:9200/esb/services/ListarHistoricoPacotesAssinantev1?wsdl
06/01/2017 15:30:16 ; SUCC ; 200 ; 6570 ; GET ; http://brux0338:9200/esb/services/EfetivarPortabilidadev1?wsdl
06/01/2017 15:30:24 ; SUCC ; 200 ; 7172 ; GET ; http://brux0338:9200/esb/services/ConsultarVendedorv1?wsdl
06/01/2017 15:31:46 ; ERRO ; 500 ; 101070 ; GET ; http://brux0338:9200/esb/services/ConsultarClientev2?wsdl
06/01/2017 15:32:27 ; ERRO ; 500 ; 142016 ; GET ; http://brux0338:9200/esb/services/ListarHistoricoPagamentov1?wsdl
06/01/2017 15:32:27 ; ERRO ; 500 ; 142066 ; GET ; http://brux0338:9200/esb/services/ConsultarDocumentoDigitalv1?wsdl
06/01/2017 15:32:27 ; ERRO ; 500 ; 244008 ; GET ; http://brux0338:9200/esb/services/AtualizarPortabilidadev1?wsdl
06/01/2017 15:32:31 ; SUCC ; 200 ; 4144 ; GET ; http://brux0338:9200/esb/services/ReservarNumerosTelefonev1?wsdl
06/01/2017 15:33:36 ; ERRO ; 500 ; 68468 ; GET ; http://brux0338:9200/esb/services/ListarAlertasVendasv1?wsdl
06/01/2017 15:34:16 ; ERRO ; 500 ; 363101 ; GET ; http://brux0338:9200/esb/services/VerificarBloqueioAssinanteRecargav1?wsdl
06/01/2017 15:34:16 ; ERRO ; 500 ; 232612 ; GET ; http://brux0338:9200/esb/services/VerificarElegibilidadePromocaoAssinantev1?wsdl
06/01/2017 15:34:23 ; SUCC ; 200 ; 111211 ; GET ; http://brux0338:9200/esb/services/ConsultarDadosMarketingClientev1?wsdl
06/01/2017 15:35:37 ; ERRO ; 500 ; 332100 ; GET ; http://brux0338:9200/esb/services/SolicitarInspecaoDigitalizacaov1?wsdl
06/01/2017 15:35:37 ; ERRO ; 500 ; 74778 ; GET ; http://brux0338:9200/esb/services/SolicitarSegundaViaFaturav1?wsdl
06/01/2017 15:35:37 ; ERRO ; 500 ; 81253 ; GET ; http://brux0338:9200/esb/services/NotificarEventoLogisticav2?wsdl
06/01/2017 15:35:44 ; SUCC ; 200 ; 450344 ; GET ; http://brux0338:9200/esb/services/AtualizarDadosInspecaoDocumentacaov1?wsdl
06/01/2017 15:35:45 ; SUCC ; 200 ; 439555 ; GET ; http://brux0338:9200/esb/services/ListarExtratoClaroClubev1?wsdl
06/01/2017 15:35:46 ; SUCC ; 200 ; 442566 ; GET ; http://brux0338:9200/esb/services/VerificarEnderecoClientev1?wsdl
06/01/2017 15:35:48 ; SUCC ; 200 ; 4227 ; GET ; http://brux0338:9200/esb/services/TrocarFormaPagamentoAccountv1?wsdl
06/01/2017 15:35:49 ; SUCC ; 200 ; 801 ; GET ; http://brux0338:9200/esb/services/SolicitarCompraEquipamentoSeguradorav1?wsdl
06/01/2017 15:35:52 ; SUCC ; 200 ; 2439 ; GET ; http://brux0338:9200/esb/services/GerarCodigoAutorizacaoUsuarioExternov1?wsdl
06/01/2017 15:37:03 ; ERRO ; 500 ; 78081 ; GET ; http://brux0338:9200/esb/services/ValidarCotacaoVendaCorporativav1?wsdl
06/01/2017 15:37:03 ; ERRO ; 500 ; 85713 ; GET ; http://brux0338:9200/esb/services/GerarAtendimentoNetv1?wsdl
06/01/2017 15:37:03 ; ERRO ; 500 ; 166965 ; GET ; http://brux0338:9200/esb/services/ConsultarPlanoPrecov2?wsdl
06/01/2017 15:37:04 ; ERRO ; 404 ; 1020 ; GET ; http://brux0338:9200/esb/services/DescongelarNumerosTelefonev1?wsdl
06/01/2017 15:37:11 ; SUCC ; 200 ; 7311 ; GET ; http://brux0338:9200/esb/services/AutenticarTokenSSOv2?wsdl
06/01/2017 15:37:19 ; SUCC ; 200 ; 8639 ; GET ; http://brux0338:9200/esb/services/AdicionarClienteContaOnlinev2?wsdl
06/01/2017 15:38:48 ; ERRO ; 500 ; 312390 ; GET ; http://brux0338:9200/esb/services/ListarLocalidadesVendav1?wsdl
06/01/2017 15:38:48 ; ERRO ; 500 ; 105054 ; GET ; http://brux0338:9200/esb/services/ListarProdutosEstoquev1?wsdl
06/01/2017 15:40:16 ; ERRO ; 500 ; 191464 ; GET ; http://brux0338:9200/esb/services/ConsultarPesquisaSatisfacaoDisponivelAssinantev1?wsdl
06/01/2017 15:40:16 ; ERRO ; 500 ; 87452 ; GET ; http://brux0338:9200/esb/services/ConsultarPontuacaoSolicitacaoCartaoClaroClubev1?wsdl
06/01/2017 15:40:16 ; ERRO ; 500 ; 509276 ; GET ; http://brux0338:9200/esb/services/ResgatarPontuacaoClaroClubev1?wsdl
06/01/2017 15:41:08 ; SUCC ; 200 ; 52718 ; GET ; http://brux0338:9200/esb/services/ValidarCodigoAutorizacaoUsuarioExternov1?wsdl
06/01/2017 15:42:10 ; ERRO ; 500 ; 61402 ; GET ; http://brux0338:9200/esb/services/CalcularAnaliseCreditoFormasPagamentov1?wsdl
06/01/2017 15:42:12 ; ERRO ; 500 ; 585089 ; GET ; http://brux0338:9200/esb/services/CadastrarPagadorv1?wsdl
06/01/2017 15:43:58 ; ERRO ; 500 ; 492349 ; GET ; http://brux0338:9200/esb/services/VerificarElegibilidadeGrupoAssinantev1?wsdl
06/01/2017 15:44:00 ; SUCC ; 200 ; 107507 ; GET ; http://brux0338:9200/esb/services/TrocarSimCardv1?wsdl
06/01/2017 15:44:12 ; SUCC ; 200 ; 11905 ; GET ; http://brux0338:9200/esb/services/SolicitarRestituicaoEmConfiancav1?wsdl
06/01/2017 15:45:31 ; ERRO ; 500 ; 92948 ; GET ; http://brux0338:9200/esb/services/ListarHistoricoAjustesCreditoAssinantev1?wsdl
